Date,Revenue_Total,Revenue_Enterprise,Revenue_SMB,Revenue_Consumer,Revenue_US,Revenue_Europe,Revenue_APAC,Revenue_LATAM,ARR,MRR,Customer_Count,Enterprise_Customers,SMB_Customers,Consumer_Customers,ARPU_Enterprise,ARPU_SMB,ARPU_Consumer,Churn_Rate,NRR,CAC,LTV,Gross_Margin,Operating_Margin,Cash_Flow,Headcount,R&D_Spend,Sales_Marketing_Spend
2018-09-01,7221900,3616000,2166570,1439330,4333140,1444380,722190,722190,86662800,7221900,11075,138,1010,9927,26203,2145,145,0.001,1.275,630,55200,0.94,0.375,2708213,124,1083285,2166570
2018-10-01,7583000,3796000,2274900,1512100,4549800,1516600,758300,758300,90996000,7583000,11390,140,1025,10225,27114,2219,148,0.001,1.28,625,55900,0.945,0.38,2881940,126,1137450,2274900
2018-11-01,7962000,3985000,2388600,1588400,4777200,1592400,796200,796200,95544000,7962000,11710,142,1040,10528,28063,2298,151,0.001,1.285,620,56600,0.95,0.385,3065370,128,1194300,2388600
2018-12-01,8360000,4184000,2508000,1668000,5016000,1672000,836000,836000,100320000,8360000,12035,144,1055,10836,29056,2381,154,0.001,1.29,615,57300,0.955,0.39,3260400,130,1254000,2508000
2019-01-01,8778000,4392000,2633400,1752600,5266800,1755600,877800,877800,105336000,8778000,12365,146,1070,11149,30082,2462,157,0.001,1.295,610,58000,0.96,0.395,3467610,132,1316700,2633400
2019-02-01,9216900,4611000,2765070,1840830,5530140,1843380,921690,921690,110602800,9216900,12700,148,1085,11467,31155,2548,160,0.0009,1.3,605,58700,0.965,0.4,3686760,134,1382535,2765070
2019-03-01,9677745,4841000,2903324,1933421,5806647,1935549,967775,967775,116132940,9677745,13040,150,1100,11790,32273,2639,164,0.0009,1.305,600,59400,0.97,0.405,3919173,136,1451662,2903324
2019-04-01,10161000,5083000,3048300,2029700,6096600,2032200,1016100,1016100,121932000,10161000,13385,152,1115,12118,33440,2734,167,0.0008,1.31,595,60100,0.975,0.41,4165410,138,1524150,3048300
2019-05-01,10669050,5337000,3200715,2131335,6401430,2133810,1066905,1066905,128028600,10669050,13735,154,1130,12451,34655,2833,171,0.0008,1.315,590,60800,0.98,0.415,4427668,140,1600358,3200715
2019-06-01,11202000,5603000,3360600,2238400,6721200,2240400,1120200,1120200,134424000,11202000,14090,156,1145,12789,35917,2936,175,0.0007,1.32,585,61500,0.985,0.42,4704840,142,1680300,3360600
2019-07-01,11762100,5883000,3528630,2350470,7057260,2352420,1176210,1176210,141145200,11762100,14450,158,1160,13132,37234,3042,179,0.0007,1.325,580,62200,0.99,0.425,4998893,144,1764315,3528630
2019-08-01,12350000,6175000,3705000,2470000,7410000,2470000,1235000,1235000,148200000,12350000,14815,160,1175,13480,38594,3153,183,0.0006,1.33,575,62900,0.995,0.43,5310500,146,1852500,3705000
2019-09-01,12967500,6483000,3890250,2594250,7780500,2593500,1296750,1296750,155610000,12967500,15185,162,1190,13833,40019,3270,188,0.0006,1.335,570,63600,1.0,0.435,5640863,148,1945125,3890250
2019-10-01,13615875,6807000,4084763,2724113,8169525,2723175,1361588,1361588,163390500,13615875,15560,164,1205,14191,41506,3390,192,0.0005,1.34,565,64300,1.0,0.44,5990985,150,2042381,4084763
2019-11-01,14296000,7147000,4288800,2860200,8577600,2859200,1429600,1429600,171552000,14296000,15940,166,1220,14554,43044,3515,197,0.0005,1.345,560,65000,1.0,0.445,6361720,152,2144400,4288800
2019-12-01,15010800,7504000,4503240,3003560,9006480,3002160,1501080,1501080,180129600,15010800,16325,168,1235,14922,44667,3648,201,0.0004,1.35,555,65700,1.0,0.45,6754860,154,2251620,4503240
2020-01-01,15761000,7879000,4728300,3153700,9456600,3152200,1576100,1576100,189132000,15761000,16715,170,1250,15295,46347,3783,206,0.0004,1.355,550,66400,1.0,0.455,7171255,156,2364150,4728300
2020-02-01,16549050,8274000,4964715,3310335,9929430,3309810,1654905,1654905,198588600,16549050,17110,172,1265,15673,48105,3925,211,0.0003,1.36,545,67100,1.0,0.46,7612563,158,2482358,4964715
2020-03-01,17376000,8687000,5212800,3475200,10425600,3475200,1737600,1737600,208512000,17376000,17510,174,1280,16056,49925,4072,216,0.0003,1.365,540,67800,1.0,0.465,8079840,160,2606400,5212800
2020-04-01,18244800,9122000,5473440,3649360,10946880,3648960,1824480,1824480,218937600,18244800,17915,176,1295,16444,51830,4227,222,0.0002,1.37,535,68500,1.0,0.47,8575056,162,2736720,5473440
2020-05-01,19157000,9578000,5747100,3831900,11494200,3831400,1915700,1915700,229884000,19157000,18325,178,1310,16837,53820,4387,228,0.0002,1.375,530,69200,1.0,0.475,9099575,164,2873550,5747100
2020-06-01,20114850,10057000,6034455,4023395,12068910,4022970,2011485,2011485,241378200,20114850,18740,180,1325,17235,55872,4554,233,0.0001,1.38,525,69900,1.0,0.48,9655128,166,3017228,6034455
2020-07-01,21120000,10560000,6336000,4224000,12672000,4224000,2112000,2112000,253440000,21120000,19160,182,1340,17638,58022,4728,239,0.0001,1.385,520,70600,1.0,0.485,10243200,168,3168000,6336000
2020-08-01,22176000,11088000,6652800,4435200,13305600,4435200,2217600,2217600,266112000,22176000,19585,184,1355,18046,60261,4912,246,0.0001,1.39,515,71300,1.0,0.49,10866240,170,3326400,6652800
2020-09-01,23284800,11642000,6985440,4657360,13970880,4656960,2328480,2328480,279417600,23284800,20015,186,1370,18459,62602,5099,252,0.0001,1.395,510,72000,1.0,0.495,11525976,172,3492720,6985440
2020-10-01,24449000,12224000,7334700,4889800,14669400,4889800,2444900,2444900,293388000,24449000,20450,188,1385,18877,65021,5297,259,0.00009,1.4,505,72700,1.0,0.5,12224500,174,3667350,7334700
2020-11-01,25671450,12835000,7701435,5134910,15402870,5134290,2567145,2567145,308057400,25671450,20890,190,1400,19300,67553,5501,266,0.00009,1.405,500,73400,1.0,0.505,12964083,176,3850718,7701435
2020-12-01,26955000,13477000,8086500,5391000,16173000,5391000,2695500,2695500,323460000,26955000,21335,192,1415,19728,70193,5715,273,0.00008,1.41,495,74100,1.0,0.51,13747050,178,4043250,8086500
2021-01-01,28302750,14151000,8490825,5660925,16981650,5660550,2830275,2830275,339633000,28302750,21785,194,1430,20161,72942,5938,281,0.00008,1.415,490,74800,1.0,0.515,14575919,180,4245413,8490825
2021-02-01,29717888,14858000,8915366,5944521,17830733,5943578,2971789,2971789,356614650,29717888,22240,196,1445,20599,75806,6168,289,0.00007,1.42,485,75500,1.0,0.52,15453102,182,4457683,8915366
2021-03-01,31203000,15601000,9360900,6241100,18721800,6240600,3120300,3120300,374436000,31203000,22700,198,1460,21042,78793,6412,297,0.00007,1.425,480,76200,1.0,0.525,16381575,184,4680450,9360900
2021-04-01,32763150,16381000,9828945,6553260,19657890,6552630,3276315,3276315,393157800,32763150,23165,200,1475,21490,81905,6665,305,0.00006,1.43,475,76900,1.0,0.53,17364470,186,4914473,9828945
2021-05-01,34401000,17200000,10320300,6880700,20640600,6880200,3440100,3440100,412812000,34401000,23635,202,1490,21943,85149,6927,314,0.00006,1.435,470,77600,1.0,0.535,18404535,188,5160150,10320300
2021-06-01,36121050,18060000,10836315,7224735,21672630,7224210,3612105,3612105,433452600,36121050,24110,204,1505,22401,88529,7203,323,0.00005,1.44,465,78300,1.0,0.54,19505367,190,5418158,10836315
2021-07-01,37927000,18963000,11378100,7585800,22756200,7585400,3792700,3792700,455124000,37927000,24590,206,1520,22864,92053,7488,332,0.00005,1.445,460,79000,1.0,0.545,20660015,192,5689050,11378100
2021-08-01,39823350,19911000,11947005,7965270,23894010,7964670,3982335,3982335,477880200,39823350,25075,208,1535,23332,95726,7783,341,0.00004,1.45,455,79700,1.0,0.55,21902843,194,5973503,11947005
2021-09-01,41814000,20907000,12544200,8362800,25088400,8362800,4181400,4181400,501768000,41814000,25565,210,1550,23805,99557,8093,351,0.00004,1.455,450,80400,1.0,0.555,23207070,196,6266100,12544200
2021-10-01,43904700,21952000,13171410,8780940,26342820,8780940,4390470,4390470,526856400,43904700,26055,212,1565,24278,103547,8419,362,0.00003,1.46,445,81100,1.0,0.56,24586632,198,6578205,13171410
2021-11-01,46100000,23050000,13830000,9220000,27660000,9220000,4610000,4610000,553200000,46100000,26550,214,1580,24756,107710,8753,372,0.00003,1.465,440,81800,1.0,0.565,26046500,200,6915000,13830000
2021-12-01,48405000,24202000,14521500,9680500,29043000,9681000,4840500,4840500,580860000,48405000,27050,216,1595,25239,112046,9107,384,0.00002,1.47,435,82500,1.0,0.57,27590850,202,7260750,14521500
2022-01-01,50825250,25412000,15247575,10165675,30495150,10165050,5082525,5082525,609903000,50825250,27555,218,1610,25727,116569,9472,395,0.00002,1.475,430,83200,1.0,0.575,29224394,204,7623788,15247575
2022-02-01,53366000,26683000,16009800,10673200,32019600,10673200,5336600,5336600,640392000,53366000,28065,220,1625,26220,121286,9852,407,0.00001,1.48,425,83900,1.0,0.58,30952280,206,8004900,16009800
2022-03-01,56034300,28017000,16810290,11207070,33620580,11206860,5603430,5603430,672411600,56034300,28580,222,1640,26718,126216,10250,420,0.00001,1.485,420,84600,1.0,0.585,32779866,208,8405145,16810290
2022-04-01,58836000,29418000,17650800,11767200,35301600,11767200,5883600,5883600,706032000,58836000,29100,224,1655,27221,131339,10668,432,0.00001,1.49,415,85300,1.0,0.59,34713240,210,8825400,17650800
2022-05-01,61777800,30888000,18533340,12355560,37066680,12355560,6177780,6177780,741333600,61777800,29625,226,1670,27729,136743,11098,446,0.000009,1.495,410,86000,1.0,0.595,36757991,212,9266670,18533340
2022-06-01,64866000,32433000,19459800,12973200,38919600,12973200,6486600,6486600,778392000,64866000,30155,228,1685,28242,142267,11548,459,0.000009,1.5,405,86700,1.0,0.6,38919600,214,9729900,19459800
2022-07-01,68109300,34054000,20432790,13621860,40865580,13621860,6810930,6810930,817311600,68109300,30690,230,1700,28760,148191,12017,474,0.000008,1.505,400,87400,1.0,0.605,41206122,216,10216395,20432790
2022-08-01,71514000,35757000,21454200,14302800,42908400,14302800,7151400,7151400,858168000,71514000,31230,232,1715,29283,154211,12508,488,0.000008,1.51,395,88100,1.0,0.61,43623540,218,10727100,21454200
2022-09-01,75089700,37544000,22526910,15017940,45053820,15008940,7508970,7508970,901076400,75089700,31775,234,1730,29811,160444,13019,504,0.000007,1.515,390,88800,1.0,0.615,46180161,220,11263455,22526910
2022-10-01,78844000,39422000,23653200,15768800,47306400,15768800,7884400,7884400,946128000,78844000,32325,236,1745,30344,167110,13550,520,0.000007,1.52,385,89500,1.0,0.62,48883280,222,11826600,23653200
2022-11-01,82786200,41393000,24835860,16557240,49671720,16557240,8278620,8278620,993434400,82786200,32880,238,1760,30882,173929,14102,536,0.000006,1.525,380,90200,1.0,0.625,51741375,224,12417930,24835860
2022-12-01,86925000,43462000,26077500,17385000,52155000,17385000,8692500,8692500,1043100000,86925000,33425,240,1775,31410,181092,14676,553,0.000006,1.53,375,90900,1.0,0.63,54762750,226,13038750,26077500
2023-01-01,91271250,45635000,27381375,18254250,54762750,18254250,9127125,9127125,1095255000,91271250,33975,242,1790,31943,188574,15272,571,0.000005,1.535,370,91600,1.0,0.635,57936944,228,13707206,27381375
2023-02-01,95835000,47917000,28750500,19167000,57501000,19167000,9583500,9583500,1150020000,95835000,34530,244,1805,32481,196380,15901,589,0.000005,1.54,365,92300,1.0,0.64,61334400,230,14375250,28750500
2023-03-01,100627000,50313000,30188100,20125400,60376200,20125400,10062700,10062700,1207524000,100627000,35090,246,1820,33024,204523,16552,609,0.000004,1.545,360,93000,1.0,0.645,64904515,232,15094050,30188100
2023-04-01,105658350,52829000,31697505,21131670,63395010,21131670,10565835,10565835,1267900200,105658350,35655,248,1835,33572,213021,17226,629,0.000004,1.55,355,93700,1.0,0.65,68677928,234,15848753,31697505
2023-05-01,110941000,55470000,33282300,22188200,66564600,22188200,11094100,11094100,1331292000,110941000,36225,250,1850,34125,221880,17936,650,0.000003,1.555,350,94400,1.0,0.655,72666755,236,16641150,33282300
2023-06-01,116488050,58244000,34946415,23297610,69892830,23297610,11648805,11648805,1397856600,116488050,36800,252,1865,34683,231032,18675,672,0.000003,1.56,345,95100,1.0,0.66,76881633,238,17473208,34946415
2023-07-01,122312000,61156000,36693600,24462400,73387200,24462400,12231200,12231200,1467744000,122312000,37380,254,1880,35246,240693,19442,694,0.000002,1.565,340,95800,1.0,0.665,81337280,240,18346800,36693600
2023-08-01,128428000,64214000,38528400,25685600,77056800,25685600,12842800,12842800,1541136000,128428000,37965,256,1895,35814,250836,20241,717,0.000002,1.57,335,96500,1.0,0.67,86046760,242,19264200,38528400
2023-09-01,134849400,67424000,40454820,26969880,80909640,26969880,13484940,13484940,1618192800,134849400,38555,258,1910,36387,261318,21066,741,0.000001,1.575,330,97200,1.0,0.675,91023345,244,20227410,40454820
2023-10-01,141592000,70796000,42477600,28318400,84955200,28318400,14159200,14159200,1699104000,141592000,39150,260,1925,36965,272292,21923,766,0.000001,1.58,325,97900,1.0,0.68,96282560,246,21238800,42477600
2023-11-01,148671600,74335000,44601480,29734320,89202960,29734320,14867160,14867160,1784059200,148671600,39750,262,1940,37548,283740,22815,792,0.000001,1.585,320,98600,1.0,0.685,101840044,248,22300740,44601480
2023-12-01,156105000,78052000,46831500,31221000,93663000,31221000,15610500,15610500,1873260000,156105000,40355,264,1955,38136,295652,23749,819,0.000001,1.59,315,99300,1.0,0.69,107632450,250,23415750,46831500
2024-01-01,163910250,81955000,49173075,32782050,98346150,32782050,16391025,16391025,1966923000,163910250,40965,266,1970,38729,308109,24722,847,0.0000009,1.595,310,100000,1.0,0.695,113917404,252,24586538,49173075
2024-02-01,172106000,86053000,51631800,34421200,103263600,34421200,17210600,17210600,2065272000,172106000,41580,268,1985,39327,321123,25731,876,0.0000009,1.6,305,100700,1.0,0.7,120474200,254,25815900,51631800
2024-03-01,180711000,90355000,54213300,36142200,108426600,36142200,18071100,18071100,2168532000,180711000,42200,270,2000,39930,334648,26779,905,0.0000008,1.605,300,101400,1.0,0.705,127411155,256,27106950,54213300
2024-04-01,189746550,94873000,56923965,37949310,113847930,37949310,18974655,18974655,2276958600,189746550,42825,272,2015,40538,348809,27867,936,0.0000008,1.61,295,102100,1.0,0.71,134720071,258,28476983,56923965
2024-05-01,199234000,99617000,59770200,39846800,119540400,39846800,19923400,19923400,2390808000,199234000,43455,274,2030,41151,363578,29001,968,0.0000007,1.615,290,102800,1.0,0.715,142432110,260,29885100,59770200
2024-06-01,209195700,104597000,62758710,41839140,125517420,41839140,20919570,20919570,2510348400,209195700,44090,276,2045,41769,379252,30181,1001,0.0000007,1.62,285,103500,1.0,0.72,150620904,262,31387855,62758710
2024-07-01,219655000,109827000,65896500,43931000,131793000,43931000,21965500,21965500,2635860000,219655000,44730,278,2060,42392,395035,31406,1037,0.0000006,1.625,280,104200,1.0,0.725,159300375,264,32948250,65896500
2024-08-01,230638000,115319000,69191400,46127600,138382800,46127600,23063800,23063800,2767656000,230638000,45375,280,2075,42820,411854,32697,1076,0.0000006,1.63,275,104900,1.0,0.73,168365740,266,34595700,69191400
2024-09-01,242169900,121084000,72650970,48433980,145301940,48433980,24216990,24216990,2906038800,242169900,46025,282,2090,43253,429517,34041,1119,0.0000005,1.635,270,105600,1.0,0.735,177994765,268,36325485,72650970
2024-10-01,254278000,127139000,76283400,50855600,152566800,50855600,25427800,25427800,3051336000,254278000,46680,284,2105,43691,447745,35438,1164,0.0000005,1.64,265,106300,1.0,0.74,188165320,270,38142100,76283400
2024-11-01,266992000,133496000,80097600,53398400,160195200,53398400,26699200,26699200,3203904000,266992000,47340,286,2120,44134,466839,36890,1210,0.0000004,1.645,260,107000,1.0,0.745,198838040,272,40048800,80097600
2024-12-01,280341600,140170000,84102480,56068320,168204960,56068320,28034160,28034160,3364099200,280341600,48005,288,2135,44582,486493,38400,1258,0.0000004,1.65,255,107700,1.0,0.75,210256200,274,42051240,84102480
